label,gemeturi,glossaryuri,comments,replacewith,geonames,instructions:
Baltic,,,geo,Baltic region,?,
baltic sea,,,geo,Baltic Sea,2633321,
baltic sea ecosystem,,,,Baltic Sea ecosystem,,
baltic sea ice,,,,Baltic Sea ice,,
baltic sea salinity,,,,Baltic Sea salinity,,
baseline,,,,,,
Baseline2010,,,,baseline,,
Bathing water,,,,bathing water,,
bathing water,http://www.eionet.europa.eu/gemet/concept/740,http://glossary.eea.europa.eu/EEAGlossary/B/bathing_water,,,,
Bathing water Directive,,,,Bathing Water Directive,,
Bathing water quality,,,,bathing water quality,,
bathing water quality,,,,,,
bathing water report,,,,,,
BDIV,,,,,,
BDIV07d,,,,,,
beach,http://www.eionet.europa.eu/gemet/concept/751,,,beaches,,
beach pollution,,,,,,
beach water,,,,,,
bear,,,,bears,,
beech forest,,,,beech forests,,
bees,,,,,,
begining of environmental policy,,,,environmental policy,,
Belgrade conference,,,,,,
Belgrade07,,,geo,Belgrade,,
Benzene,,,,benzene,,
benzene,http://www.eionet.europa.eu/gemet/concept/776,http://glossary.eea.europa.eu/EEAGlossary/B/benzene,,,,
benzo(a)pyrene,,http://glossary.eea.europa.eu/EEAGlossary/B/benzoapyrene,,,,
bicycle,http://www.eionet.europa.eu/gemet/concept/788,,,bicycles,,
bicycle lane,,,,bicycle lanes,,
bicycle traffic,,,,,,
bike,,,,bikes,,
biocapacity,,,,,,
biodegradable waste,,http://glossary.eea.europa.eu/EEAGlossary/B/biodegradable_waste,,,,
biodiesel,,http://glossary.eea.europa.eu/EEAGlossary/B/biodiesel,,,,
Biodiversity,,,,biodiversity,,
biodiversity,http://www.eionet.europa.eu/gemet/concept/827,http://glossary.eea.europa.eu/EEAGlossary/B/biodiversity,,,,
biodiversity components,,,,,,
biodiversity conservation,,,,conservation of biodiversity,,
biodiversity indicators,,,,,,
biodiversity information system for europe,,,,,,
biodiversity loss,,,,,,
biodiversity monitoring,,,,,,
biodynamic agriculture,,,,,,
bioenergy,,http://glossary.eea.europa.eu/EEAGlossary/B/bioenergy,,,,
bioenergy crops,,,,,,
bioethanol,,http://glossary.eea.europa.eu/EEAGlossary/B/bioethanol,,,,
biofuel,http://www.eionet.europa.eu/gemet/concept/12011,http://glossary.eea.europa.eu/EEAGlossary/B/biofuel,,biofuels,,
biofuel directive,,,,,,
biofules,,,,biofuels,,
biogas,http://www.eionet.europa.eu/gemet/concept/832,http://glossary.eea.europa.eu/EEAGlossary/B/biogas,,,,
biogeographic,,,,biogeographical regions,,
Biogeographical region,,,,biogeographical regions,,
biogeographical region,http://www.eionet.europa.eu/gemet/concept/835,http://glossary.eea.europa.eu/EEAGlossary/B/biogeographical_region,,biogeographical regions,,
bio-geographical regions,,,,biogeographical regions,,
biomass,http://www.eionet.europa.eu/gemet/concept/883,http://glossary.eea.europa.eu/EEAGlossary/B/biomass,,,,
Biomass Action Plan,,,,,,
biomass combustion,,,,,,
biomass energy,http://www.eionet.europa.eu/gemet/concept/885,,,,,
biome,,,,biomes,,
biomes,,,,,,
bioplant,,,,bioplants,,
biotechnology,http://www.eionet.europa.eu/gemet/concept/898,,,,,
biotope,http://www.eionet.europa.eu/gemet/concept/901,http://glossary.eea.europa.eu/EEAGlossary/B/biotope,,,,
biowaste,,,,,,
birch forest,,,,birch forests,,
bird,http://www.eionet.europa.eu/gemet/concept/912,,,birds,,
birds,,,,,,
birds directive,,,,Birds Directive,,
BISE,,,,,,
bison,,,,bisons,,
Black Sea,http://www.eionet.europa.eu/gemet/concept/14842,,geo,,630673,
black triangle,,,,,,
Black-tailed godwit,,,,black-tailed godwits,,
BLOSSOM,,,,,,
blue fish,,,,,,
BOD,,http://glossary.eea.europa.eu/EEAGlossary/B/BOD,,,,
BOD5,,,,,,
BOD7,,,,,,
bog,http://www.eionet.europa.eu/gemet/concept/12161,http://glossary.eea.europa.eu/EEAGlossary/B/bog,,bogs,,
bonito,,,,,,
boreal,,,,,,
boreal forest,,http://glossary.eea.europa.eu/EEAGlossary/B/boreal_forest,,boreal forests,,
bottled water,,,,,,
brackish water,http://www.eionet.europa.eu/gemet/concept/984,http://glossary.eea.europa.eu/EEAGlossary/B/brackish_water,,,,
broadleaved evergreen forest,,,,broadleaved evergreen forests,,
broadleaved-coniferous forest,,,,broadleaved-coniferous forests,,
Budget,,,,budget,,
buildings,,,,,,
bunker fuels,,,,,,
burden-sharing,,,,,,
burning waste,,,,,,
bus,http://www.eionet.europa.eu/gemet/concept/1082,,,buses,,
butterfly,http://www.eionet.europa.eu/gemet/concept/1091,,,butterflies,,
cabon binding,,,,,,
Cadmium,,,,cadmium,,
cadmium,http://www.eionet.europa.eu/gemet/concept/1100,http://glossary.eea.europa.eu/EEAGlossary/C/cadmium,,,,
CAFE,,http://glossary.eea.europa.eu/EEAGlossary/C/CAFE,,,,
cancer,http://www.eionet.europa.eu/gemet/concept/1130,,,,,
CAP,,http://glossary.eea.europa.eu/EEAGlossary/C/CAP,,,,
cap and trade,,,,,,
capacity building,,http://glossary.eea.europa.eu/EEAGlossary/C/capacity_building,,,,
capita,,,,,,
car,http://www.eionet.europa.eu/gemet/concept/1148,,,cars,,
car industry,,,,,,
car occupancy,,,,,,
car ownership,,,,,,
car sales,,,,,,
car sharing,,,,,,
carbon,http://www.eionet.europa.eu/gemet/concept/1160,,,,,
carbon capture,,,,,,
carbon capture technology,,,,none,,
carbon cycle,http://www.eionet.europa.eu/gemet/concept/1164,,,,,
carbon dioxide,http://www.eionet.europa.eu/gemet/concept/1168,http://glossary.eea.europa.eu/EEAGlossary/C/carbon_dioxide,,,,
carbon efficiency,,,,,,
carbon emission,,,,carbon emissions,,
carbon footprint,,,,,,
carbon monoxide,http://www.eionet.europa.eu/gemet/concept/1173,http://glossary.eea.europa.eu/EEAGlossary/C/carbon_monoxide,,,,
carbon sink,,http://glossary.eea.europa.eu/EEAGlossary/C/carbon_sink,,,,
carbon stock,,,,,,
carbon storage,,,,,,
carbon uptake,,http://glossary.eea.europa.eu/EEAGlossary/C/carbon_uptake,,,,
cardboard,,,,,,
cardboard recycling,,,,,,
cardiovascular,,,,,,
cardiovascular disease,http://www.eionet.europa.eu/gemet/concept/1185,http://glossary.eea.europa.eu/EEAGlossary/C/cardiovascular_disease,,cardiovascular diseases,,
caretta caretta turtle,,,,caretta caretta turtles,,
carpool,,,,,,
cars,,,,,,
carsharing,,,,,,
case studies,,,,,,
Caspian Sea,http://www.eionet.europa.eu/gemet/concept/14843,,geo,,630671,
catchment,http://www.eionet.europa.eu/gemet/concept/12231,,,,,
cattle,http://www.eionet.europa.eu/gemet/concept/1225,,,,,
caucasus,,,geo,Caucasus,615318,
CBA,,,,,,
CCPM,,,,,,
CCS,,http://glossary.eea.europa.eu/EEAGlossary/C/CCS,,,,
Cd,,http://glossary.eea.europa.eu/EEAGlossary/C/Cd,,cadmiun,,
CDDA,,http://glossary.eea.europa.eu/EEAGlossary/C/CDDA,,,,
central asia,,,geo,Central Asia,?,
central heating,,,,,,
Central Park,,,geo,,5112085,
CEPA,,http://glossary.eea.europa.eu/EEAGlossary/C/CEPA,,,,
cereal,,,,cereals,,
certification,http://www.eionet.europa.eu/gemet/concept/11612,,,,,
certified emission reduction,,,,certified emission reductions,,
CFC,,http://glossary.eea.europa.eu/EEAGlossary/C/CFC,,chlorofluorocarbon,,
CFL,,,,,,
CFP,,http://glossary.eea.europa.eu/EEAGlossary/C/CFP,,common fisheries policy,,
CH4,,http://glossary.eea.europa.eu/EEAGlossary/C/CH4,,methane,,
change,,,,,,
chemical,http://www.eionet.europa.eu/gemet/concept/1327,http://glossary.eea.europa.eu/EEAGlossary/C/chemical,,chemicals,,
chemical concentration model,,,,,,
chemical density,,,,,,
"chemical elements, compounds, polymers, biological sequences, mixtures and alloys.",,,,none,,
chemical industry,http://www.eionet.europa.eu/gemet/concept/1310,,,,,
chemical policy,http://www.eionet.europa.eu/gemet/concept/1317,,,,,
chemical pollution,http://www.eionet.europa.eu/gemet/concept/1319,,,,,
chemical product labelling,,,,,,
chemicals,,,,,,
chemicals information system,,,,,,
childhood cancer,,,,,,
chlorophyll-a,,,,,,
CHP,,,,,,
circles of discovery,,,,,,
Cities,,,,cities,,
cities,,,,,,
citizen science,,,,,,
CITL,,,,,,
city,http://www.eionet.europa.eu/gemet/concept/1421,,,cities,,
CityBEES,,,,,,
civitas,,,,,,
CLC,,http://glossary.eea.europa.eu/EEAGlossary/C/CLC,,Corine Land Cover,,
CLC technical guidelines,,,,,,
CLC1990,,,,Corine Land Cover,,
CLC2000,,,,Corine Land Cover,,
CLC2006,,,,Corine Land Cover,,
CLCchanges,,,,Corine Land Cover changes,,
clean water,,,,,,
CLIM,,,,climate change,,
CLIM001,,,,climate change,,
CLIM002,,,,climate change,,
CLIM003,,,,climate change,,
CLIM004,,,,climate change,,
CLIM005,,,,climate change,,
CLIM006,,,,climate change,,
CLIM007,,,,climate change,,
CLIM008,,,,climate change,,
CLIM009,,,,climate change,,
CLIM010,,,,climate change,,
